date,user_id,category,merchant,amount_inr,payment_method,is_recurring,recurring_code
08-02-2019,1001,Groceries,RelianceFresh,482.16,UPI,FALSE,
08-02-2019,1001,Travel,AirIndia,1254.33,Credit Card,FALSE,
09-02-2019,1001,Miscellaneous,Flipkart,90.36,UPI,FALSE,
09-02-2019,1001,Groceries,RelianceFresh,640.88,NetBanking,FALSE,
09-02-2019,1001,Dining,BarbequeNation,182.81,UPI,FALSE,
09-02-2019,1001,Groceries,RelianceFresh,492.96,UPI,FALSE,
09-02-2019,1001,Transport,Ola,205.12,Credit Card,FALSE,
10-02-2019,1001,Entertainment,PVR,184.61,Credit Card,FALSE,
11-02-2019,1001,Entertainment,PVR,109.4,NetBanking,FALSE,
12-02-2019,1001,Insurance,LIC,2821.25,UPI,TRUE,INS
12-02-2019,1001,Rent,ApartmentMgmt,18800.13,NetBanking,TRUE,RENT
12-02-2019,1001,Utilities,GasCompany,572.86,Cash,FALSE,
13-02-2019,1001,Healthcare,ApolloPharmacy,332.11,NetBanking,FALSE,
13-02-2019,1001,Miscellaneous,GiftShop,83.48,NetBanking,FALSE,
13-02-2019,1001,Entertainment,PlayStore,68.49,Credit Card,FALSE,
14-02-2019,1001,Utilities,ElectricityBoard,540.06,Cash,FALSE,
15-02-2019,1001,Subscriptions,Spotify,146.25,Debit Card,TRUE,SUBS
15-02-2019,1001,Miscellaneous,GiftShop,93.08,Credit Card,FALSE,
15-02-2019,1001,Miscellaneous,GiftShop,50,UPI,FALSE,
16-02-2019,1001,Miscellaneous,StationeryStore,83.67,Credit Card,FALSE,
16-02-2019,1001,Groceries,BigBazaar,498.49,Cash,FALSE,
16-02-2019,1001,Dining,Dominos,398.73,Credit Card,FALSE,
16-02-2019,1001,Travel,MakeMyTrip,334.19,UPI,FALSE,
17-02-2019,1001,Groceries,DMart,326.68,Credit Card,FALSE,
17-02-2019,1001,Entertainment,PVR,129.63,Credit Card,FALSE,
17-02-2019,1001,Dining,CafeCoffeeDay,306.66,UPI,FALSE,
17-02-2019,1001,Groceries,RelianceFresh,699.57,NetBanking,FALSE,
17-02-2019,1001,Healthcare,Thyrocare,332.65,UPI,FALSE,
18-02-2019,1001,Subscriptions,PrimeVideo,180.78,Credit Card,TRUE,SUBS
18-02-2019,1001,Subscriptions,Spotify,110.59,Credit Card,TRUE,SUBS
18-02-2019,1001,Subscriptions,Netflix,83.62,Credit Card,TRUE,SUBS
18-02-2019,1001,Subscriptions,iCloud,336.6,Credit Card,TRUE,SUBS
18-02-2019,1001,Subscriptions,iCloud,49.34,Credit Card,TRUE,SUBS
18-02-2019,1001,Groceries,LocalKirana,435.85,UPI,FALSE,
18-02-2019,1001,Rent,Landlord-RTGS,24117.21,Credit Card,TRUE,RENT
19-02-2019,1001,Groceries,LocalKirana,245.3,UPI,FALSE,
19-02-2019,1001,Miscellaneous,StationeryStore,92.94,Credit Card,FALSE,
20-02-2019,1001,Rent,ApartmentMgmt,14411.06,UPI,TRUE,RENT
21-02-2019,1001,Miscellaneous,Amazon,53.11,Credit Card,FALSE,
21-02-2019,1001,Education,Udemy,158.07,UPI,FALSE,
22-02-2019,1001,Miscellaneous,GiftShop,84.43,Credit Card,FALSE,
23-02-2019,1001,Transport,Metro,251.49,Credit Card,FALSE,
24-02-2019,1001,Groceries,RelianceFresh,383.94,Credit Card,FALSE,
25-02-2019,1001,Entertainment,PVR,58.44,Credit Card,FALSE,
25-02-2019,1001,Groceries,RelianceFresh,474.12,UPI,FALSE,
25-02-2019,1001,Groceries,BigBazaar,302.83,UPI,FALSE,
26-02-2019,1001,Entertainment,PlayStore,140.57,Credit Card,FALSE,
26-02-2019,1001,Dining,CafeCoffeeDay,186.15,UPI,FALSE,
27-02-2019,1001,Dining,Dominos,368.95,NetBanking,FALSE,
27-02-2019,1001,Rent,Landlord-RTGS,13775.77,UPI,TRUE,RENT
27-02-2019,1001,Groceries,DMart,217.67,Debit Card,FALSE,
28-02-2019,1001,Subscriptions,Spotify,244.17,NetBanking,TRUE,SUBS
01-03-2019,1001,Insurance,LIC,3271.79,Credit Card,TRUE,INS
01-03-2019,1001,Dining,Dominos,328.34,UPI,FALSE,
02-03-2019,1001,Groceries,DMart,431.59,Debit Card,FALSE,
02-03-2019,1001,Groceries,BigBazaar,583.55,Credit Card,FALSE,
02-03-2019,1001,Groceries,DMart,448.85,Credit Card,FALSE,
03-03-2019,1001,Rent,Landlord-RTGS,19712.28,Bank Transfer,TRUE,RENT
03-03-2019,1001,Groceries,DMart,434.11,UPI,FALSE,
03-03-2019,1001,Transport,Uber,70.16,NetBanking,FALSE,
03-03-2019,1001,Travel,IndiGo,961.87,NetBanking,FALSE,
04-03-2019,1001,Travel,AirIndia,711.59,Debit Card,FALSE,
05-03-2019,1001,Groceries,BigBazaar,389.99,UPI,FALSE,
06-03-2019,1001,Insurance,HDFCLife,2093.85,Credit Card,TRUE,INS
06-03-2019,1001,Miscellaneous,StationeryStore,101.27,Credit Card,FALSE,
06-03-2019,1001,Utilities,ElectricityBoard,713.59,UPI,FALSE,
07-03-2019,1001,Groceries,RelianceFresh,50,Credit Card,FALSE,
08-03-2019,1001,Subscriptions,iCloud,382.47,Credit Card,TRUE,SUBS
09-03-2019,1001,Groceries,DMart,437.67,UPI,FALSE,
09-03-2019,1001,Subscriptions,YouTubePremium,422.2,Credit Card,TRUE,SUBS
09-03-2019,1001,Dining,Dominos,497.91,UPI,FALSE,
09-03-2019,1001,Education,Udemy,269.24,UPI,FALSE,
09-03-2019,1001,Dining,CafeCoffeeDay,369.07,UPI,FALSE,
09-03-2019,1001,Groceries,DMart,539.35,UPI,FALSE,
10-03-2019,1001,Healthcare,CityHospital,221.17,NetBanking,FALSE,
10-03-2019,1001,Dining,BarbequeNation,180.77,Debit Card,FALSE,
11-03-2019,1001,Healthcare,ApolloPharmacy,188.08,UPI,FALSE,
12-03-2019,1001,Insurance,LIC,2400.17,UPI,TRUE,INS
12-03-2019,1001,Groceries,LocalKirana,679.65,UPI,FALSE,
12-03-2019,1001,Miscellaneous,GiftShop,80.68,Credit Card,FALSE,
12-03-2019,1001,Transport,Uber,170.82,UPI,FALSE,
12-03-2019,1001,Subscriptions,Spotify,326.04,NetBanking,TRUE,SUBS
13-03-2019,1001,Rent,ApartmentMgmt,1413.47,UPI,TRUE,RENT
13-03-2019,1001,Groceries,LocalKirana,50,UPI,FALSE,
13-03-2019,1001,Travel,IndiGo,738.85,Credit Card,FALSE,
14-03-2019,1001,Insurance,HDFCLife,2142.02,Cash,TRUE,INS
15-03-2019,1001,Travel,IndiGo,420.97,Debit Card,FALSE,
15-03-2019,1001,Transport,Uber,226.06,Credit Card,FALSE,
16-03-2019,1001,Travel,IRCTC,581.97,Credit Card,FALSE,
17-03-2019,1001,Groceries,DMart,195.3,Credit Card,FALSE,
17-03-2019,1001,Subscriptions,YouTubePremium,167.5,Debit Card,TRUE,SUBS
17-03-2019,1001,Miscellaneous,StationeryStore,117.5,UPI,FALSE,
18-03-2019,1001,Subscriptions,PrimeVideo,78.94,Credit Card,TRUE,SUBS
18-03-2019,1001,Subscriptions,Spotify,160.51,Credit Card,TRUE,SUBS
18-03-2019,1001,Subscriptions,Spotify,416.09,Credit Card,TRUE,SUBS
18-03-2019,1001,Subscriptions,YouTubePremium,154.96,Credit Card,TRUE,SUBS
18-03-2019,1001,Miscellaneous,Flipkart,50,UPI,FALSE,
19-03-2019,1001,Groceries,LocalKirana,505.23,Credit Card,FALSE,
19-03-2019,1001,Miscellaneous,Amazon,50,UPI,FALSE,
20-03-2019,1001,Dining,Zomato,285.73,UPI,FALSE,
21-03-2019,1001,Miscellaneous,GiftShop,50,Cash,FALSE,
21-03-2019,1001,Entertainment,PVR,161.97,UPI,FALSE,
21-03-2019,1001,Dining,Dominos,101.55,UPI,FALSE,
22-03-2019,1001,Groceries,BigBazaar,500.07,UPI,FALSE,
22-03-2019,1001,Miscellaneous,Amazon,98.58,Debit Card,FALSE,
23-03-2019,1001,Transport,Uber,204.88,UPI,FALSE,
24-03-2019,1001,Insurance,HDFCLife,2380.15,Credit Card,TRUE,INS
24-03-2019,1001,Subscriptions,PrimeVideo,379.69,UPI,TRUE,SUBS
24-03-2019,1001,Travel,IndiGo,605.56,UPI,FALSE,
24-03-2019,1001,Travel,IndiGo,1004.31,UPI,FALSE,
25-03-2019,1001,Groceries,LocalKirana,424.65,Credit Card,FALSE,
25-03-2019,1001,Groceries,RelianceFresh,489.11,Credit Card,FALSE,
25-03-2019,1001,Transport,Ola,129.87,Credit Card,FALSE,
25-03-2019,1001,Transport,Uber,69.11,Credit Card,FALSE,
26-03-2019,1001,Subscriptions,iCloud,69.97,UPI,TRUE,SUBS
27-03-2019,1001,Groceries,BigBazaar,623.14,UPI,FALSE,
28-03-2019,1001,Dining,CafeCoffeeDay,167.2,Credit Card,FALSE,
28-03-2019,1001,Subscriptions,Netflix,368.25,NetBanking,TRUE,SUBS
29-03-2019,1001,Insurance,ICICIPrudential,3419.96,Credit Card,TRUE,INS
29-03-2019,1001,Miscellaneous,StationeryStore,50,UPI,FALSE,
30-03-2019,1001,Subscriptions,Netflix,496.61,Credit Card,TRUE,SUBS
30-03-2019,1001,Transport,Metro,78.14,Credit Card,FALSE,
30-03-2019,1001,Transport,Metro,249.13,UPI,FALSE,
30-03-2019,1001,Dining,Zomato,234.76,Credit Card,FALSE,
30-03-2019,1001,Dining,Dominos,341.21,Credit Card,FALSE,
30-03-2019,1001,Utilities,GasCompany,487.01,UPI,FALSE,
30-03-2019,1001,Rent,ApartmentMgmt,20083.01,Debit Card,TRUE,RENT
30-03-2019,1001,Transport,FuelStation,228.08,UPI,FALSE,
31-03-2019,1001,Transport,FuelStation,101.57,Credit Card,FALSE,
01-04-2019,1001,Transport,Ola,75.99,Credit Card,FALSE,
02-04-2019,1001,Groceries,BigBazaar,271.46,Credit Card,FALSE,
02-04-2019,1001,Groceries,LocalKirana,437.29,NetBanking,FALSE,
03-04-2019,1001,Rent,Landlord-RTGS,18709.39,Bank Transfer,TRUE,RENT
03-04-2019,1001,Transport,Uber,85.17,Credit Card,FALSE,
03-04-2019,1001,Dining,Swiggy,71.29,UPI,FALSE,
03-04-2019,1001,Rent,Landlord-RTGS,19262.91,Debit Card,TRUE,RENT
03-04-2019,1001,Transport,Ola,199.43,Cash,FALSE,
04-04-2019,1001,Miscellaneous,Amazon,54.87,UPI,FALSE,
04-04-2019,1001,Miscellaneous,Amazon,53.68,UPI,FALSE,
04-04-2019,1001,Miscellaneous,Flipkart,60.08,Debit Card,FALSE,
04-04-2019,1001,Healthcare,CityHospital,163.07,UPI,FALSE,
05-04-2019,1001,Dining,Dominos,199.67,UPI,FALSE,
06-04-2019,1001,Dining,Swiggy,385.34,Credit Card,FALSE,
06-04-2019,1001,Insurance,HDFCLife,1913.55,NetBanking,TRUE,INS
07-04-2019,1001,Groceries,BigBazaar,249.36,Credit Card,FALSE,
07-04-2019,1001,Healthcare,Thyrocare,173.76,UPI,FALSE,
07-04-2019,1001,Miscellaneous,StationeryStore,69.92,Debit Card,FALSE,
07-04-2019,1001,Groceries,RelianceFresh,572.5,UPI,FALSE,
08-04-2019,1001,Dining,Swiggy,129.49,UPI,FALSE,
09-04-2019,1001,Healthcare,ApolloPharmacy,332.42,Debit Card,FALSE,
09-04-2019,1001,Groceries,LocalKirana,515.05,Debit Card,FALSE,
09-04-2019,1001,Transport,Metro,207.41,NetBanking,FALSE,
10-04-2019,1001,Miscellaneous,StationeryStore,58.41,UPI,FALSE,
11-04-2019,1001,Groceries,DMart,504.69,NetBanking,FALSE,
11-04-2019,1001,Miscellaneous,StationeryStore,81.54,UPI,FALSE,
11-04-2019,1001,Subscriptions,Spotify,206.52,UPI,TRUE,SUBS
12-04-2019,1001,Insurance,ICICIPrudential,2429.44,UPI,TRUE,INS
12-04-2019,1001,Utilities,GasCompany,235.67,Debit Card,FALSE,
13-04-2019,1001,Groceries,RelianceFresh,435.03,Cash,FALSE,
13-04-2019,1001,Groceries,LocalKirana,590.13,NetBanking,FALSE,
13-04-2019,1001,Miscellaneous,StationeryStore,68.28,UPI,FALSE,
14-04-2019,1001,Rent,ApartmentMgmt,9343.17,Credit Card,TRUE,RENT
14-04-2019,1001,Dining,BarbequeNation,302.31,UPI,FALSE,
14-04-2019,1001,Miscellaneous,Flipkart,91.23,Credit Card,FALSE,
14-04-2019,1001,Rent,ApartmentMgmt,24116.7,UPI,TRUE,RENT
15-04-2019,1001,Miscellaneous,Amazon,106.63,UPI,FALSE,
16-04-2019,1001,Dining,Zomato,229.31,UPI,FALSE,
16-04-2019,1001,Healthcare,CityHospital,335.23,Cash,FALSE,
17-04-2019,1001,Insurance,ICICIPrudential,760.13,Credit Card,TRUE,INS
18-04-2019,1001,Subscriptions,Spotify,395.54,Credit Card,TRUE,SUBS
18-04-2019,1001,Subscriptions,Netflix,309.15,Credit Card,TRUE,SUBS
18-04-2019,1001,Subscriptions,Netflix,167.07,Credit Card,TRUE,SUBS
18-04-2019,1001,Groceries,DMart,407.76,Credit Card,FALSE,
18-04-2019,1001,Education,Udemy,220.5,Debit Card,FALSE,
19-04-2019,1001,Dining,Swiggy,155.53,Cash,FALSE,
20-04-2019,1001,Insurance,HDFCLife,3474.22,UPI,TRUE,INS
20-04-2019,1001,Miscellaneous,StationeryStore,119.5,Credit Card,FALSE,
20-04-2019,1001,Education,SkillShare,336.09,NetBanking,FALSE,
21-04-2019,1001,Travel,AirIndia,566.58,Credit Card,FALSE,
21-04-2019,1001,Groceries,DMart,463.81,Credit Card,FALSE,
21-04-2019,1001,Healthcare,CityHospital,481.34,Cash,FALSE,
21-04-2019,1001,Transport,FuelStation,105.6,NetBanking,FALSE,
21-04-2019,1001,Entertainment,Steam,199.67,Credit Card,FALSE,
21-04-2019,1001,Groceries,RelianceFresh,94.15,UPI,FALSE,
22-04-2019,1001,Subscriptions,iCloud,379.87,UPI,TRUE,SUBS
23-04-2019,1001,Miscellaneous,GiftShop,63.29,Credit Card,FALSE,
23-04-2019,1001,Rent,ApartmentMgmt,30449.23,NetBanking,TRUE,RENT
24-04-2019,1001,Dining,Dominos,73.32,UPI,FALSE,
25-04-2019,1001,Education,Coursera,244.4,UPI,FALSE,
25-04-2019,1001,Groceries,BigBazaar,413.73,UPI,FALSE,
25-04-2019,1001,Dining,Zomato,279.7,UPI,FALSE,
26-04-2019,1001,Travel,AirIndia,224.32,Cash,FALSE,
26-04-2019,1001,Entertainment,BookMyShow,171.16,Credit Card,FALSE,
26-04-2019,1001,Groceries,BigBazaar,227.98,UPI,FALSE,
27-04-2019,1001,Rent,ApartmentMgmt,25048.72,Debit Card,TRUE,RENT
27-04-2019,1001,Education,SkillShare,322.18,Credit Card,FALSE,
27-04-2019,1001,Miscellaneous,Flipkart,63.74,Cash,FALSE,
28-04-2019,1001,Groceries,BigBazaar,431.55,UPI,FALSE,
29-04-2019,1001,Dining,CafeCoffeeDay,261.88,Credit Card,FALSE,
29-04-2019,1001,Insurance,HDFCLife,2766.15,UPI,TRUE,INS
30-04-2019,1001,Insurance,LIC,1823.28,Cash,TRUE,INS
30-04-2019,1001,Utilities,ElectricityBoard,819.02,Debit Card,FALSE,
01-05-2019,1001,Miscellaneous,StationeryStore,99.89,NetBanking,FALSE,
01-05-2019,1001,Subscriptions,iCloud,349.89,Credit Card,TRUE,SUBS
01-05-2019,1001,Transport,Metro,143.51,Cash,FALSE,
01-05-2019,1001,Transport,FuelStation,70.1,Debit Card,FALSE,
01-05-2019,1001,Groceries,DMart,306.77,UPI,FALSE,
01-05-2019,1001,Transport,Ola,109.73,UPI,FALSE,
02-05-2019,1001,Healthcare,Thyrocare,362.98,UPI,FALSE,
02-05-2019,1001,Education,SkillShare,90.83,Credit Card,FALSE,
02-05-2019,1001,Dining,Swiggy,50,Credit Card,FALSE,
02-05-2019,1001,Groceries,DMart,690.72,Credit Card,FALSE,
02-05-2019,1001,Entertainment,PlayStore,253.74,Debit Card,FALSE,
03-05-2019,1001,Rent,Landlord-RTGS,19534.28,Bank Transfer,TRUE,RENT
03-05-2019,1001,Dining,BarbequeNation,190.51,Credit Card,FALSE,
03-05-2019,1001,Transport,FuelStation,208.23,Cash,FALSE,
03-05-2019,1001,Rent,ApartmentMgmt,22074.78,UPI,TRUE,RENT
04-05-2019,1001,Groceries,DMart,178.41,Credit Card,FALSE,
04-05-2019,1001,Utilities,Broadband ISP,395.88,Credit Card,FALSE,
04-05-2019,1001,Miscellaneous,Flipkart,137.29,Credit Card,FALSE,
04-05-2019,1001,Education,Coursera,304.42,Cash,FALSE,
05-05-2019,1001,Utilities,Broadband ISP,318.25,Cash,FALSE,
05-05-2019,1001,Entertainment,Steam,220.69,Debit Card,FALSE,
05-05-2019,1001,Transport,Uber,75.64,Credit Card,FALSE,
05-05-2019,1001,Subscriptions,YouTubePremium,243.74,UPI,TRUE,SUBS
05-05-2019,1001,Groceries,BigBazaar,177.59,NetBanking,FALSE,
06-05-2019,1001,Travel,AirIndia,1608.6,UPI,FALSE,
06-05-2019,1001,Insurance,LIC,2682.16,UPI,TRUE,INS
06-05-2019,1001,Groceries,BigBazaar,278.01,Credit Card,FALSE,
07-05-2019,1001,Rent,Landlord-RTGS,29102.83,Credit Card,TRUE,RENT
07-05-2019,1001,Utilities,ElectricityBoard,678.81,Credit Card,FALSE,
08-05-2019,1001,Transport,Uber,210.92,UPI,FALSE,
08-05-2019,1001,Transport,Ola,98.27,UPI,FALSE,
08-05-2019,1001,Education,Udemy,76.74,UPI,FALSE,
09-05-2019,1001,Healthcare,ApolloPharmacy,308.08,Credit Card,FALSE,
09-05-2019,1001,Groceries,BigBazaar,303.94,UPI,FALSE,
09-05-2019,1001,Dining,CafeCoffeeDay,280.39,Credit Card,FALSE,
09-05-2019,1001,Transport,Metro,188.2,UPI,FALSE,
10-05-2019,1001,Groceries,BigBazaar,208.81,UPI,FALSE,
10-05-2019,1001,Education,Udemy,233.58,UPI,FALSE,
10-05-2019,1001,Subscriptions,YouTubePremium,103.09,UPI,TRUE,SUBS
10-05-2019,1001,Insurance,ICICIPrudential,1924.95,Cash,TRUE,INS
11-05-2019,1001,Travel,MakeMyTrip,413.68,Credit Card,FALSE,
11-05-2019,1001,Dining,Dominos,193.49,UPI,FALSE,
11-05-2019,1001,Groceries,RelianceFresh,338.57,UPI,FALSE,
11-05-2019,1001,Dining,Swiggy,170.73,Credit Card,FALSE,
11-05-2019,1001,Dining,CafeCoffeeDay,290.18,Debit Card,FALSE,
12-05-2019,1001,Insurance,LIC,2447.69,UPI,TRUE,INS
12-05-2019,1001,Transport,FuelStation,154.92,Debit Card,FALSE,
12-05-2019,1001,Transport,Metro,156.49,UPI,FALSE,
12-05-2019,1001,Education,SkillShare,221.22,NetBanking,FALSE,
12-05-2019,1001,Dining,Dominos,218.16,NetBanking,FALSE,
12-05-2019,1001,Miscellaneous,Flipkart,137.55,Debit Card,FALSE,
13-05-2019,1001,Entertainment,PlayStore,160.32,UPI,FALSE,
13-05-2019,1001,Miscellaneous,GiftShop,83.33,Credit Card,FALSE,
13-05-2019,1001,Miscellaneous,GiftShop,70.76,UPI,FALSE,
13-05-2019,1001,Groceries,DMart,208.8,Credit Card,FALSE,
14-05-2019,1001,Groceries,DMart,501.65,Cash,FALSE,
14-05-2019,1001,Groceries,BigBazaar,313.35,Debit Card,FALSE,
14-05-2019,1001,Utilities,GasCompany,343.91,Credit Card,FALSE,
15-05-2019,1001,Miscellaneous,GiftShop,81.36,UPI,FALSE,
16-05-2019,1001,Dining,Dominos,323.24,UPI,FALSE,
16-05-2019,1001,Miscellaneous,Amazon,53.55,UPI,FALSE,
16-05-2019,1001,Utilities,WaterWorks,347.45,Credit Card,FALSE,
16-05-2019,1001,Groceries,DMart,156.53,UPI,FALSE,
16-05-2019,1001,Miscellaneous,Flipkart,97.88,UPI,FALSE,
16-05-2019,1001,Rent,ApartmentMgmt,8689.27,Credit Card,TRUE,RENT
17-05-2019,1001,Groceries,LocalKirana,281.21,UPI,FALSE,
17-05-2019,1001,Healthcare,ApolloPharmacy,295.96,Credit Card,FALSE,
18-05-2019,1001,Subscriptions,PrimeVideo,338.75,Credit Card,TRUE,SUBS
18-05-2019,1001,Subscriptions,Spotify,49,Credit Card,TRUE,SUBS
18-05-2019,1001,Subscriptions,Netflix,193.22,Credit Card,TRUE,SUBS
18-05-2019,1001,Subscriptions,Netflix,221.74,Credit Card,TRUE,SUBS
18-05-2019,1001,Groceries,LocalKirana,599.71,NetBanking,FALSE,
18-05-2019,1001,Groceries,LocalKirana,399.69,UPI,FALSE,
18-05-2019,1001,Groceries,RelianceFresh,446.51,Credit Card,FALSE,
18-05-2019,1001,Subscriptions,YouTubePremium,50,UPI,TRUE,SUBS
18-05-2019,1001,Travel,IndiGo,1016.65,UPI,FALSE,
18-05-2019,1001,Groceries,LocalKirana,450.29,UPI,FALSE,
18-05-2019,1001,Entertainment,Steam,130.6,UPI,FALSE,
19-05-2019,1001,Groceries,BigBazaar,619.5,Cash,FALSE,
19-05-2019,1001,Entertainment,Steam,222.73,Cash,FALSE,
19-05-2019,1001,Subscriptions,YouTubePremium,375.38,UPI,TRUE,SUBS
